"","GID","Lat","Long","SiteCode","ToBufDist","DateDeployed","DateCollected","TrapStatus","FemaleAeaeg","MaleAeaeg","FemalesTested","FemaleAeaeg2","Female_wMel","Female_wMelPop","MalesTested","MaleAeaeg2","Male_wMel","Male_wMelPop","DayDeployed","DayCollected","DaysActive"
"117",619,-16.92303,145.76327,"PP08",0,2013-01-15,2013-01-22,TRUE,6,3,6,6,3,0,3,3,0,0,14,21,7
"118",507,-16.91866,145.75994,"PP19",0,2013-01-15,2013-01-22,TRUE,9,0,9,9,2,0,NA,NA,NA,NA,14,21,7
"119",26687,-16.92112,145.76051,"PP12",0,2013-01-15,2013-01-22,TRUE,23,25,23,23,7,0,25,25,2,0,14,21,7
"120",35627,-16.91646,145.75845,"PP21",0,2013-01-15,2013-01-22,TRUE,9,2,9,9,4,0,2,2,2,0,14,21,7
"121",427,-16.91646,145.75903,"PP22",0,2013-01-15,2013-01-22,TRUE,1,1,2,2,1,0,1,1,1,0,14,21,7
"122",450,-16.91655,145.75955,"PP23",0,2013-01-15,2013-01-22,TRUE,15,5,15,15,6,0,5,5,4,0,14,21,7
"123",47457,-16.91626,145.76032,"PP24",0,2013-01-15,2013-01-22,TRUE,11,1,11,11,4,0,1,1,0,0,14,21,7
"124",6511,-16.92036,145.76231,"PP14",0,2013-01-15,2013-01-22,TRUE,10,12,10,10,4,0,12,12,3,0,14,21,7
"125",12036,-16.92137,145.76194,"PP13",0,2013-01-15,2013-01-22,TRUE,10,2,10,10,8,0,2,2,2,0,14,21,7
"126",47501,-16.91546,145.76033,"PP30",0,2013-01-22,2013-01-29,TRUE,9,2,9,9,2,0,2,2,1,0,21,28,7
"127",53343,-16.91735,145.76202,"PP29",0,2013-01-22,2013-01-29,TRUE,11,13,11,11,4,0,13,13,10,0,21,28,7
"128",55377,-16.91715,145.76301,"PP28",0,2013-01-22,2013-01-29,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,21,28,7
"129",623,-16.92215,145.76311,"PP31",0,2013-01-22,2013-01-29,TRUE,2,5,2,2,1,0,5,5,2,0,21,28,7
