"GID","Lat","Long","SiteCode","ToBufDist","DateDeployed","DateCollected","TrapStatus","FemaleAeaeg","MaleAeaeg","FemalesTested","FemaleAeaeg2","Female_wMel","Female_wMelPop","MalesTested","MaleAeaeg2","Male_wMel","Male_wMelPop"
47457,"-16.91626","145.76032","PP24",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",9,1,,,,,,,,
22950,"-16.91897","145.76313","PP25",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",21,6,,,,,,,,
67089,"-16.91863","145.76443","PP26",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",36,9,,,,,,,,
21693,"-16.91975","145.76381","PP27",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",10,13,,,,,,,,
55377,"-16.91715","145.76301","PP28",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",2,4,,,,,,,,
53343,"-16.91735","145.76202","PP29",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",21,71,,,,,,,,
47501,"-16.91546","145.76033","PP30",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",13,0,,,,,,,,
35627,"-16.91646","145.75845","PP21",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",2,0,,,,,,,,
651,"-16.92109","145.76342","PP06",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",13,4,,,,,,,,
643,"-16.92186","145.76408","PP05",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",2,1,,,,,,,,
26646,"-16.92096","145.76434","PP04",0.00,20/11/2012 0:00:00,27/11/2012 0:00:00,"OK",2,1,,,,,,,,
36629,"-16.92062","145.76477","PP03",0.00,20/11/2012 0:00:00,27/11/2012 0:00:00,"OK",6,0,,,,,,,,
13424,"-16.91982","145.7657","PP02",0.00,20/11/2012 0:00:00,27/11/2012 0:00:00,"OK",19,13,,,,,,,,
23970,"-16.9205","145.7664","PP01",0.00,20/11/2012 0:00:00,27/11/2012 0:00:00,"OK",30,18,,,,,,,,
26687,"-16.92112","145.76051","PP12",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"Fail",0,0,,,,,,,,
626,"-16.92237","145.7633","PP07",0.00,13/11/2012 0:00:00,27/11/2012 0:00:00,"OK",3,1,,,,,,,,
507,"-16.91866","145.75994","PP19",0.00,27/11/2012 0:00:00,4/12/2012 0:00:00,"OK",0,0,,,,,,,,
21693,"-16.91975","145.76381","PP27",0.00,27/11/2012 0:00:00,4/12/2012 0:00:00,"OK",12,2,,,,,,,,
67089,"-16.91863","145.76443","PP26",0.00,27/11/2012 0:00:00,4/12/2012 0:00:00,"OK",15,5,,,,,,,,
22950,"-16.91897","145.76313","PP25",0.00,27/11/2012 0:00:00,4/12/2012 0:00:00,"OK",19,6,,,,,,,,
47457,"-16.91626","145.76032","PP24",0.00,27/11/2012 0:00:00,4/12/2012 0:00:00,"OK",5,1,,,,,,,,
450,"-16.91655","145.75955","PP23",0.00,27/11/2012 0:00:00,4/12/2012 0:00:00,"OK",4,1,,,,,,,,
427,"-16.91646","145.75903","PP22",0.00,27/11/2012 0:00:00,4/12/2012 0:00:00,"OK",2,3,,,,,,,,
37898,"-16.92593","145.76614","PP40",500.00,27/11/2012 0:00:00,4/12/2012 0:00:00,"OK",19,0,,,,,,,,
435,"-16.91749","145.75932","PP20-1",0.00,27/11/2012 0:00:00,4/12/2012 0:00:00,"OK",13,5,,,,,,,,
