ID,gender,mateID,enzyme,age,gonoCycle,timeDeath,typeDeath,whereTrapped,motherID,fatherID,infStatus,releaseLoc,long,lat,gridID
13852,1,-1,1.2019214496597044,20,0,3,0,-1,-1,-1,0,-1,145.76078154315067,-16.921073309106085,1034
13854,1,-1,0.9846946193485848,26,1,3,0,-1,-1,-1,0,-1,145.76135387257565,-16.91957430740568,1150
13855,1,-1,0.8881818155407302,25,1,3,0,-1,-1,-1,0,-1,145.7662534461122,-16.920514419460105,1871
13875,0,-1,0.8609014187588684,24,0,3,0,-1,-1,-1,0,-1,145.7658663486218,-16.92195828810386,1845
13883,1,-1,1.1174040666430585,21,0,3,0,-1,-1,-1,0,-1,145.76484737768,-16.921333128478775,1765
13904,1,-1,0.8648628174907855,23,1,3,0,-1,-1,-1,0,-1,145.7547631803605,-16.915709752261375,93
13929,0,-1,0.9188870111595235,23,0,3,0,-1,-1,-1,0,-1,145.76239046322902,-16.916471449092185,1394
13937,1,-1,1.0544948830849818,25,1,3,0,-1,-1,-1,0,-1,145.76898758858684,-16.917306918807498,2108
13938,1,-1,1.3997576727181067,25,1,3,0,-1,-1,-1,0,-1,145.76227269813666,-16.91640490873669,1337
13950,1,-1,1.100078643217995,24,1,3,0,-1,-1,-1,0,-1,145.76682036057142,-16.9189627227001,1938
13961,0,-1,0.9693331498767577,25,0,3,0,-1,-1,-1,0,-1,145.7559286913081,-16.914593656523156,208
13971,0,-1,0.9982435239128165,23,0,3,0,-1,-1,-1,0,-1,145.7678600167712,-16.920305789672472,2014
14000,1,-1,1.3770514420814206,27,1,3,0,-1,-1,-1,0,-1,145.76432921901716,-16.92004753133998,1718
14003,0,-1,1.149538918549507,21,0,3,0,-1,-1,-1,0,-1,145.76106166656336,-16.91453485956464,1114
14004,1,-1,0.9882213141884051,22,1,3,0,-1,-1,-1,0,-1,145.75977040001789,-16.917905057635156,796
14021,0,-1,0.8130657283238463,24,0,3,0,-1,-1,-1,0,-1,145.761574255156,-16.92179102618397,1200
